pid,label,orig_url,claimed_genre,orig_blurb,orig_pid,forensics,obit_en,obit_es,obit_by,last_active,archival_link,archive,census_year,notes
rip001,ARC Magazine,http://arcthemagazine.com/arc/home/,an art magazine,"ARC Magazine is a non-profit print and online publication and social platform launched in 2011. It seeks to fill a certain void by offering a critical space for contemporary artists to present their work while fostering and developing critical dialogues and opportunities for crucial points of exchange, scholarship and study. ARC is an online and social space of interaction with a developed methodology of sharing information about contemporary practices, exhibitions, partnerships, and opportunities occurring in the Caribbean region and throughout its diasporas.",cds172,Holly Bynoe told all of us the project was dead.,"ARC Magazine was a non-profit print and online publication and social platform launched in 2011, and lasted until 2018. The magazine sought to fill a certain void by offering a critical space for contemporary artists to present their work while fostering and developing critical dialogues and opportunities for crucial points of exchange, scholarship and study. The magazine was lovingly and tenaciosly stewarded by artist, curator, researcher, writer, spiritualist and Earth Ally, Holly Bynoe. We all benefited enormously from the run of the magazine. During the decade it was active, it was our main source of news about new work, often being the only place where we could find emerging digital artists. Thank you, Holly and all of the members of your wonderful team. The run of the journal can still be accessed on the Internet Archive. See link below.","ARC Magazine fue una plataforma social y una publicación impresa y en línea sin fines de lucro lanzada en 2011 y duró hasta 2018. La revista buscaba llenar un cierto vacío al ofrecer un espacio crítico para que los artistas contemporáneos presentaran su trabajo mientras fomentaban y desarrollaban diálogos críticos y oportunidades para puntos cruciales de intercambio, becas y estudios. La revista fue dirigida con amor y tenacidad por la artista, curadora, investigadora, escritora, espiritualista y aliada de la Tierra, Holly Bynoe. Todos nos beneficiamos enormemente de la publicación de la revista. Durante la década que estuvo activo, fue nuestra principal fuente de noticias sobre nuevos trabajos, siendo muchas veces el único lugar donde podíamos encontrar artistas digitales emergentes. Gracias, Holly y a todos los miembros de su maravilloso equipo. Todavía se puede acceder a la edición de la revista en Internet Archive. Ver enlace a continuación.",Alex Gil,2018,https://web.archive.org/web/20210227054258/http://arcthemagazine.com/arc/home/,Internet Archive,2021,Internet archive last captured working version September 15 2020.
rip002,Caribe Fractal,https://rcah.msu.edu/uniquely-rcah/lookout/Ballester-2020-Exhibit.html,a virtual and in-person exhibit,"Works exploring nature as a force of destruction, dispersal, and renewal in the Caribbean's ongoing dialogue with climate change and ties to diaspora.",cds176,Asking Yomaira Figueroa,"Caribe Fractal was a virtual exhibit by José Arturo Ballester Panelli for the University of Michigan, RCAH LookOut Gallery, as part of his tenure as Artist-in-residence with Electric Marronage. The project was hosted online during COVID using the Matterport platform. The original blurb read, &quot;Works exploring nature as a force of destruction, dispersal, and renewal in the Caribbean's ongoing dialogue with climate change and ties to diaspora.&quot; As of 2024 the online exhibition is no longer available online. Because the platform was an embed from a bespoke platform, we cannot recover the project using the Internet Archive. You can still read about the project and the artist on the original link. ","Caribe Fractal fue una exhibición virtual de José Arturo Ballester Panelli para la Galería RCAH LookOut de la Universidad de Michigan, como parte de su mandato como Artista residente en Electric Marronage. El proyecto se realizó en línea durante COVID utilizando la plataforma Matterport. La propaganda original decía: ""Obras que exploran la naturaleza como una fuerza de destrucción, dispersión y renovación en el diálogo continuo del Caribe con el cambio climático y los vínculos con la diáspora"". A partir de 2024, la exposición en línea ya no estará disponible en línea. Debido a que la plataforma era una inserción de una plataforma personalizada, no podemos recuperar el proyecto utilizando Internet Archive. Todavía puedes leer sobre el proyecto y el artista en el enlace original. ",Alex Gil,2022,https://web.archive.org/web/20240212065146/https://rcah.msu.edu/uniquely-rcah/lookout/Ballester-2020-Exhibit.html,Internet Archive,2021,No working version captured by web archive
rip004,Nancy Prince: A Transamerican Archive,https://nancyprince.omeka.net/,a transamerican archive,A multimedia exhibit around the life of Nancy Prince.,cds113,This one is real dead.,"The remains of Nancy Prince: A Transamerican Archive show the beginnings of &quot;a multimedia exhibit around the life of Nancy Prince.&quot; This project was a baby Omeka project, abandoned in its infancy. The about page was never finished, so we know little about its creation. We don't know what happened to it. Nancy Gardner Prince was an African-American woman who wrote about her travels in Russia and Jamaica during the nineteenth century in her autobiography *A Narrative of The Life And Travels of Mrs. Nancy Prince*, published in 1850. You can read more about Prince in Wikipedia and in the scholarly record.","Los restos de Nancy Prince: A Transamerican Archive muestran los inicios de ""una exposición multimedia sobre la vida de Nancy Prince"". Este proyecto era un pequeño proyecto Omeka, abandonado en su infancia. La página Acerca de nunca se terminó, por lo que sabemos poco sobre su creación. No sabemos qué pasó con él. Nancy Gardner Prince fue una mujer afroamericana que escribió sobre sus viajes por Rusia y Jamaica durante el siglo XIX en su autobiografía *A Narrative of The Life And Travels of Mrs. Nancy Prince*, publicada en 1850. Puede leer más sobre Prince en Wikipedia y en el registro académico.",Alex Gil,2017,https://web.archive.org/web/20230302171845/https://nancyprince.omeka.net/,Internet Archive,2020,"The Internet archive shows last working version as March 2, 2023. Originally the site was published ""in Development"" in Caridischo. The creators don't seem to have finished the site."
rip005,The Puerto Rican Experience In The U.S. Military: A Century Of Unheralded Service,https://centropr-archive.hunter.cuny.edu/digital-humanities/pr-military/puerto-rican-experience-us-military-century-unheralded-service,collection,"Centro is a research institute that is dedicated to the study and interpretation of the Puerto Rican experience in the United States and that produces and disseminates relevant interdisciplinary research. Centro also collects, preserves, and provides access to library resources documenting Puerto Rican history and culture. We seek to link scholarship to social action and policy debates and to contribute to the betterment of our community and enrichment of Puerto Rican studies.",cds154,Asking Yomaira Figueroa,"A Century Of Unheralded Service was created by the Center for Puerto Rican Studies at Hunter College (Centro) to &quot;unveil over a century of dedicated, but largely unrecognized service [of Puerto Ricans] in the U.S. armed forces&quot;. The last we saw of the project it was private access. The Internet Archive version tells us the project advanced a bit before we lost sight of it. We cannot find the original project in the Centro database anymore, nor on the internet. Sadly, some of the interactive features and some of the images are gone in the versions stored at the IA. That said, most of the project's original materials live on, and in archival storage can serve the original goals of the project. ","Un siglo de servicio no anunciado fue creado por el Centro de Estudios Puertorriqueños del Hunter College (Centro) para ""revelar más de un siglo de servicio dedicado, pero en gran medida no reconocido [de los puertorriqueños] en las fuerzas armadas de Estados Unidos"". Lo último que vimos del proyecto fue el acceso privado. La versión de Internet Archive nos dice que el proyecto avanzó un poco antes de que lo perdiéramos de vista. Ya no podemos encontrar el proyecto original en la base de datos del Centro ni en Internet. Lamentablemente, algunas de las funciones interactivas y algunas de las imágenes han desaparecido de las versiones almacenadas en la IA. Dicho esto, la mayoría de los materiales originales del proyecto siguen vivos y, almacenados en archivos, pueden cumplir los objetivos originales del proyecto. ",Alex Gil,2022,https://web.archive.org/web/20221110174637/https://centropr-archive.hunter.cuny.edu/digital-humanities/pr-military/puerto-rican-experience-us-military-century-unheralded-service,Internet Archive,2020,"The Internet Archive captured the last working version on June 24, 2023. The last we saw of the project it was private access. The IA copy seems the project advanced a bit before we lost sight of it. "
rip006,"English Slave Trade, 1791-1799
(House of Lords Survey)",https://www.disc.wisc.edu/archive/slave/slave05_index.html,online data archive,This site provides access to the raw data and documentation which contains information on English slave trade from 1791-1799.,cds53,Found the data in a UK repository. {Rene: sent email to some library people at Wisc. We'll see what they say},"This site, originally housed at the University of Wisconsin, provided open access to the raw data and documentation on English slave trade from 1791-1799. The data did not die, just the original site. Let's call this an anti-climactic obituary. The data now lives on at the UkDataService repository, which requires registration. See Archival Link below. ","Este sitio, originalmente ubicado en la Universidad de Wisconsin, proporcionó acceso abierto a los datos sin procesar y a la documentación sobre la trata de esclavos inglesa entre 1791 y 1799. Los datos no murieron, solo el sitio original. Llamemos a esto un obituario anticlimático. Los datos ahora permanecen en el repositorio de UkDataService, que requiere registro. Consulte el enlace de archivo a continuación. ",Alex Gil,2020,https://doi.org/10.5255/UKDA-SN-1385-1,UkDataService repository,2020,Internet archive shows last working version was captured March 7 2023.
rip007,Junkanoo in Grand Bahama,https://junkanooingb.com/,an initial exploration,"This project is the work of students of The University of The Bahamas-North, in English Studies courses. It is an initial exploration of Junkanoo in Grand Bahama, and aims to document the history, practices and participants of Junkanoo on the island of Grand Bahama.",cds95,Looks like a student project done with Omeka,"Junkanoo in Grand Bahama was the work of students of The University of The Bahamas-North, in English Studies courses. The original project, designed by Sally Everson, set out to document Junkanoo in Grand Bahama, its history, practices, and its participants. Our student projects are often imagined as ephemeral. This might be rightly so. We still often mourn their loss, when we know their impulse was to fill a gap online. In this case, doubly so, since the Internet Archive version was not able to capture most of the content. We hope the students in who built this are doing great, and that they have carried the lessons from this course with them.  ","Junkanoo en Gran Bahama fue obra de estudiantes de la Universidad de Las Bahamas-Norte, en cursos de Estudios Ingleses. El proyecto original, diseñado por Sally Everson, se propuso documentar Junkanoo en Gran Bahama, su historia, prácticas y sus participantes. Nuestros proyectos estudiantiles a menudo se imaginan como efímeros. Esto podría ser así con razón. A menudo todavía lamentamos su pérdida, cuando sabemos que su impulso fue llenar un vacío en línea. En este caso, doblemente, ya que la versión de Internet Archive no pudo capturar la mayor parte del contenido. Esperamos que a los estudiantes que crearon esto les vaya muy bien y que hayan llevado consigo las lecciones de este curso.  ",Alex Gil,2020,https://web.archive.org/web/20181114091938/http://junkanooingb.com/,Internet Archive,2020,Working version on web archive from february 16 2023
rip008,"RSHHGG Lab: Online Index and Lab for the Revue de la Société Haïtienne d’Histoire, de Géographie et de Géologie",https://rshhgglab.com/,a collection,"Online Index and Lab for the Revue de la Société Haïtienne d’Histoire, de Géographie et de Géologie.",cds125,My guess is it's down because of the troubles in Haiti {Rene: I'll ask Chelsea Stieber},"The RSHHGG Lab was an interactive online index of over 90 years of the *Revue de la Société Haïtienne d’Histoire, de Géographie et de Géologie*, the official publication of Haiti’s oldest intellectual society, which is still active today. The Internet Archive shows the last working versions in 2023. The domain name has elapsed and we have no further information. We can only surmise that the recent disturbances in Haiti disrupted this project, as many other archival efforts in the region. Thankfully, you can still browse the index by decade on the IA version, linked below. We hope to one day happily announce that this was a premature announcement, and that the site is back online, active with new materials from our friends at the Société. ","El RSHHGG Lab fue un índice interactivo en línea de más de 90 años de la *Revue de la Société Haïtienne d’Histoire, de Géographie et de Géologie*, la publicación oficial de la sociedad intelectual más antigua de Haití, que todavía está activa en la actualidad. Internet Archive muestra las últimas versiones funcionales en 2023. El nombre de dominio ha caducado y no tenemos más información. Sólo podemos suponer que los recientes disturbios en Haití interrumpieron este proyecto, como muchos otros esfuerzos de archivo en la región. Afortunadamente, todavía puedes explorar el índice por década en la versión IA, cuyo enlace aparece a continuación. Esperamos algún día anunciar felizmente que este fue un anuncio prematuro y que el sitio vuelve a estar en línea, activo con nuevos materiales de nuestros amigos de la Société. ",Alex Gil,2023,https://web.archive.org/web/20230201062940/https://rshhgglab.com/,Internet Archive,2020,The Internet Archive shows the last working versions in 2023. The domain name has elapsed and we have no further information.
rip009,Radio Haiti (Pilot site),http://radiohaitilives.com/,a digital collection,"Pilot website for the Radio Haiti project, created by the Forum for Scholars and Publics before the bulk of the collection was digitized",cds136,It was meant to be temporary,"The pilot website for the Radio Haiti project, created by the Forum for Scholars and Publics before the bulk of the collection was digitized might've been just that: A pilot website. We are happy to report that the Radio Haiti collection itself is alive and kicking. You can find it here in CariDiScho by Browsing the main collection, or running a search for Radio Haiti. In this pilot website Laura Wagner regaled us with updates about the project as it was being built. We thank her and her team for that, and for all the work in building Radio Haiti.","El sitio web piloto para el proyecto Radio Haití, creado por el Foro para Académicos y Públicos antes de que se digitalizara la mayor parte de la colección podría haber sido solo eso: un sitio web piloto. Nos complace informarles que la colección de Radio Haití está viva y coleando. Puede encontrarlo aquí en CariDiScho navegando por la colección principal o realizando una búsqueda de Radio Haití. En este sitio web piloto, Laura Wagner nos brindó actualizaciones sobre el proyecto mientras se estaba construyendo. Le agradecemos a ella y a su equipo por eso y por todo el trabajo en la construcción de Radio Haití.",Alex Gil,2022,https://web.archive.org/web/20220930191948/http://radiohaitilives.com/,Internet Archive,2022,"The internet archive captured last working version on September 30, 2022. The original site served as an informational portal for the Radio Haiti Archive project."
rip010,La Revista América Negra,https://www.javeriana.edu.co/ins-genetica/investigacion/publicaciones/libros/america-negra,publicaciones,The América Negra Magazine was a biannual publication of the Human Expedition that contained materials on any of the disciplines that deal with the description and analysis of human populations. The Magazine emphasized the black and indigenous communities of the American continent and their relationships with populations from other parts of the world.,cds91,No clue what happened here,"La Revista América Negra América digital collection housed a digitized run of the América Negra Magazine, a biannual publication of the Human Expedition that contained materials on any of the disciplines that deal with the description and analysis of human populations. The Magazine emphasized the black and indigenous communities of the American continent and their relationships with populations from other parts of the world. The collection captured by the Internet Archive is uneven. Some of the numbers of the magazine don't seem to be working. Many are. We hope to see this collection online again someday.","La Revista América Negra La colección digital América albergaba una tirada digitalizada de la Revista América Negra, publicación bianual de la Expedición Humana que contenía materiales sobre cualquiera de las disciplinas que se ocupan de la descripción y análisis de las poblaciones humanas. La Revista destacó las comunidades negras e indígenas del continente americano y sus relaciones con poblaciones de otras partes del mundo. La colección capturada por Internet Archive es desigual. Algunos números de la revista no parecen funcionar. Muchos son. Esperamos volver a ver esta colección en línea algún día.",Alex Gil,2022,https://web.archive.org/web/20221202203341/https://www.javeriana.edu.co/ins-genetica/investigacion/publicaciones/libros/america-negra,Internet Archive,2020,{Rene: Broken link} working version captured on web archive on december 2 2022
rip011,"Memory, Mourning, and Resilience in Grand Bahama",https://culturalmemorybahamas.com/,an exhibit,"This project is the work of first-year students of The University of The Bahamas-North, in English Studies courses. These are explorations of Bahamian cultural history and memory, with the aim of documenting significant persons, places, and events on the island of Grand Bahama.",cds120,Student ephemeral work,"Memory, Mourning, and Resilience in Grand Bahama was the work of Sally Everson's English Studies first-year students of The University of The Bahamas-North. The original project set out to explore Bahamian cultural history and memory, with the aim of documenting significant persons, places, and events on the island of Grand Bahama.. Our student projects are often imagined as ephemeral. This might be rightly so. We still often mourn their loss, when we know their impulse was to fill a gap online. In this case, doubly so, since the Internet Archive version was not able to capture most of the content. We hope the students in who built this are doing great, and that they have carried the lessons from this course with them.  ","Memoria, duelo y resiliencia en Gran Bahama fue el trabajo de los estudiantes de primer año de Estudios Ingleses de la Universidad de Las Bahamas-Norte de Sally Everson. El proyecto original se propuso explorar la historia y la memoria cultural de las Bahamas, con el objetivo de documentar personas, lugares y eventos importantes en la isla de Gran Bahama. Nuestros proyectos estudiantiles a menudo se imaginan como efímeros. Esto podría ser así con razón. A menudo todavía lamentamos su pérdida, cuando sabemos que su impulso fue llenar un vacío en línea. En este caso, doblemente, ya que la versión de Internet Archive no pudo capturar la mayor parte del contenido. Esperamos que a los estudiantes que crearon esto les vaya muy bien y que hayan llevado consigo las lecciones de este curso.  ",Alex Gil,2022,https://web.archive.org/web/20210127055315/https://culturalmemorybahamas.com/,,,
