pid,label,label_en,label_es,label_fr,link,section,genre,claimed_genre,claimed_genre_en,claimed_genre_es,claimed_genre_fr,access,status,language,creators,stewards,blurb_orig,blurb_en,blurb_es,blurb_fr,related_to,added_by,twitter,census_year,notes
cds10,.break .dance: a choreo-essay,,.baile .paso: Un coreo-ensayo,,http://smallaxe.net/sxarchipelagos/issue03/parham/parham.html,Cabinet of Wonders,Sui Generis,a choreo-essay,a choreo-essay,un coreo-ensayo,,open,Active,en,Marisa Parham,,".break .dance is a time-based web experience opened in response to a prompt for a SX Archipelagos issue, launched by Alex Gil and Kaiama Glover, and guest-edited by Jessica Marie Johnson",".break .dance is a time-based web experience [...]. In thinking through and against the machineries of commercial interface efficacy, this pocket intentionally shows its material and discursive seams. Rooted in a sense of anarchival play, it is designed for multiple engagements, changes over time, and assumes no one will take the same path through.",".baile .paso es una experiencia web basada en el tiempo [...]. Al pensar y contra las maquinarias de eficacia de la interfaz comercial, este bolsillo muestra intencionalmente sus costuras materiales y discursivas. Enraizado en un sentido de juego anarchivístico, está diseñado para múltiples compromisos, cambios con el tiempo y asume que nadie tomará el mismo camino.",,,Schuyler Esprit,@schuyleresprit,2020,
cds106,"Migration, Mobility, Sustainability: NEH Institute for Advanced Topics in the Digital Humanities",,"Migración, movilidad, sostenibilidad: Instituto de temas avanzados en Humanidades Digitales del Fondo Nacional para las Humanidades (E.E.U.U.)",,http://nehcaribbean.domains.uflib.ufl.edu/,Cabinet of Wonders,Sui Generis,an institute,an institute,un instituto,,private,In Development,en,http://nehcaribbean.domains.uflib.ufl.edu/contributors/,University of Florida; Digital Library of the Caribbean,"Funded by the National Endowment for the Humanities, this institute was designed to give participants experience incorporating tools and openly accessible collections for developing a community of practice around digital pedagogy and teaching. Participants convened through in-person and virtual sessions over the course of 2019-2020. This web publication highlights their work and encourages further sharing and collaboration.","Funded by the National Endowment for the Humanities, this institute was designed to give participants experience incorporating tools and openly accessible collections for developing a community of practice around digital pedagogy and teaching. Participants convened through in-person and virtual sessions over the course of 2019-2020. This web publication highlights their work and encourages further sharing and collaboration.","Financiado por la Fondo Nacional para las Humanidades (E.E.U.U.), este Instituto fue diseñado para dar a los participantes la experiencia de incorporación de herramientas y las colecciones abiertamente accesibles para desarrollar una comunidad de práctica en torno a la pedagogía digital y la enseñanza. Los participantes se reunieron a través de sesiones en persona y virtuales a lo largo del 2019-2020. Esta publicación web destaca su trabajo y fomenta aún más el intercambio y la colaboración.",,,Perry Collins,@perrycollins,2020,
cds108,Making of Caribbean Feminisms,,Hacer de feminismos caribeños,,https://sta.uwi.edu/igds/mcf/,Cabinet of Wonders,Sui Generis,a project,a project,un proyecto,,open,Stable,en,Institute for Gender and Development Studies,UWI St. Augustine,"This Making of Caribbean Feminisms project is founded on the belief that the impulse to further feminist theorising and activism needs to be transmitted to a younger generation. One of the outcomes has been the creation of a Special Collection on Caribbean Feminisms which is now housed in the West Indiana and Special Collections section and the UWISpace online archives of The UWI Alma Jordan Library, St. Augustine Campus","This Making of Caribbean Feminisms project is founded on the belief that the impulse to further feminist theorising and activism needs to be transmitted to a younger generation. One of the outcomes has been the creation of a Special Collection on Caribbean Feminisms which is now housed in the West Indiana and Special Collections section and the UWISpace online archives of The UWI Alma Jordan Library, St. Augustine Campus","Esta realización de proyectos de feminismos del Caribe se basa en la creencia de que el impulso de una mayor teorización y activismo feminista debe transmitirse a una generación más joven. Uno de los resultados ha sido la creación de una colección especial en los feminismos del Caribe que ahora se encuentra en la sección West Indiana y colecciones especiales y los archivos UWISpace Online de la Biblioteca Alma Jordan, St. Augustine Campus, UWI.",,,Alex Gil,@elotroalex,2020,
cds121,Mi María,My Maria,,,https://mimariapr.org/,Cabinet of Wonders,Sui Generis,a mass-listening project,a mass-listening project,un proyecto de escucha masiva,,open,In Development,en,Ricia Anne Chansky,UPRM,Mi María: Puerto Rico after the Hurricane is a mass-listening project that collects and circulates stories of Puerto Ricans who have survived Hurricane María and are trying to survive its aftermaths amidst innumerable humanitarian concerns and social justice issues.,&quotMi María: Puerto Rico after the Hurricane&quot is a mass-listening project that collects and circulates stories of Puerto Ricans who have survived Hurricane María and are trying to survive its aftermaths amidst innumerable humanitarian concerns and social justice issues.,"&quotMi María: Puerto Rico después del huracán&quot es un proyecto de escucha en masa que recopila y circula historias de puertorriqueños que han sobrevivido al huracán María, y tratan de sobrevivir a sus consecuencias en medio de innumerables preocupaciones humanitarias y problemas de justicia social.",,,Roopika Risam,@roopikarisam,2020,
cds134,Oliwon Lakarayib,Around the Caribbean,Alrededor del Caribe,,http://oliwonlakarayib.com/,Cabinet of Wonders,Sui Generis,a portal,une plateforme numérique,una plataforma digital,,open,Active,fr,Elsa Juston,,"Our digital platform dedicated to the Caribbean.
Each month, videos and podcasts in history, geography, humanities and social sciences.","Our digital platform dedicated to the Caribbean. Each month, videos and podcasts in history, geography, humanities and social sciences.","Nuestra plataforma digital dedicada al Caribe. Cada mes, videos y podcasts en historia, geografía, humanidades y ciencias sociales.",,,,,2020,
cds139,The Caribbean Commons,,La Comuna Caribe,,https://caribbean.commons.gc.cuny.edu/,Cabinet of Wonders,Sui Generis,a blog,a blog,un blog,,open,Active,en,Kelly Baker Josephs,CUNY,"Begun in 2010 as part of the Caribbean Epistemologies Seminar at the CUNY Graduate Center, the Caribbean Commons publishes announcements of Caribbean Studies CFPs and publications, as well as Caribbean-related events in the Northeast US. It also archives information from the CE Seminar, 2010-12.","Begun in 2010 as part of the Caribbean Epistemologies Seminar at the CUNY Graduate Center, the Caribbean Commons publishes announcements of Caribbean Studies CFPs and publications, as well as Caribbean-related events in the Northeast US. It also archives information from the CE Seminar, 2010-12.","Comenzando en el 2010 como parte del Seminario de Epistemologías del Caribe en el Centro de Graduados de CUNY, la Comuna Caribe publica anuncios, llamados y publicaciones de los estudios del Caribe, así como eventos relacionados con el Caribe en el noreste de los Estados Unidos. También archiva información del Seminario EC, 2010–12.",,,Alex Gil,@elotroalex,2020,
cds150,The Work of Man Has Only Just Begun: Legacies of Césaire,,El Trabajo del hombre acaba de comenzar: Legados de Aimé Césaire,,https://cesairelegacies.cdrs.columbia.edu/,Cabinet of Wonders,Sui Generis,a forum and a researchathon,a forum and a researchathon,un foro y una investigación,,open,In Disrepair,en,"Kaiama Glover, Alex Gil, Kelly Josephs",Columbia University Libraries,"Poet, statesman, and singular voice of the anti-colonial movements of the 20th century, Aimé Césaire continues to influence contemporary discussions of ethics and aesthetics, politics and history in this precariously postcolonial world. In an effort to contribute to Césaire's living legacy, we have organized an online forum in which four pairs of scholars, from a variety of disciplines, offer reflections along four different critical paths","Poet, statesman, and singular voice of the anti-colonial movements of the 20th century, Aimé Césaire continues to influence contemporary discussions of ethics and aesthetics, politics and history in this precariously postcolonial world. In an effort to contribute to Césaire's living legacy, we have organized an online forum in which four pairs of scholars, from a variety of disciplines, offer reflections along four different critical paths","Poeta, estadista y voz singular de los movimientos anti-coloniales del siglo XX, Aimé Césaire continúa influyendo discusiones contemporáneas sobre la ética y la estética, la política y la historia en nuestro mundo poscolonial precario. En un esfuerzo por contribuir al legado vivo de Césaire, se organizó este foro en línea en el que cuatro pares de académicos, de una variedad de disciplinas, ofrecieron reflejos a lo largo de cuatro caminos críticos diferentes, junto al comentario del público académico.",,,Alex Gil,@elotroalex,2020,
cds155,The Afrolatin@ Project,,El Proyecto Afrolatin@,,https://afrolatinoproject.org/,Cabinet of Wonders,Sui Generis,project,project,proyecto,,open,Stable,en,,,"Our mission is to serve as a resource center and cultural advocate for documentation and preservation of cultures, histories, and experiences of Afrodescendant people in the Americas and the Caribbean.","Our mission is to serve as a resource center and cultural advocate for documentation and preservation of cultures, histories, and experiences of Afrodescendant people in the Americas and the Caribbean.","Nuestra misión es servir como centro de recursos y defensor cultural de la documentación y la preservación de las culturas, las historias y las experiencias de las personas afrodescendientes en las Américas y el Caribe.",,,,,2020,
cds164,Unmapping the Caribbean: Cuban Santería,,Descartografía del Caribe: Santería Cubana,,https://nyuds.maps.arcgis.com/apps/Cascade/index.html?appid=510f57634a2940e0abaca2be46207384,Cabinet of Wonders,Sui Generis,multimedia exhibit,a multimedia exhibit,exposición multimedia,,open,Stable,en,,NYU,"Cuban Santería is a hybrid religion drawing from the Catholic doctrine imposed by Spanish colonialists, and the Yoruba religions brought by enslaved Africans.","Cuban Santería is a hybrid religion drawing from the Catholic doctrine imposed by Spanish colonialists, and the Yoruba religions brought by enslaved Africans.","La santería cubana es una religión híbrida que se extrae de la doctrina católica impuesta por los colonialistas españoles, y las religiones Yoruba traídas por esclavizados africanos.",,,Tao Leigh Goffe,@taoleighgoffe,2020,
cds165,Valor y Cambio,Value and Exchange,,,https://www.valorycambio.org,Cabinet of Wonders,Sui Generis,proyect,un proyecto,un proyecto,,open,Stable,"en,es","Frances Negrón-Muntaner, Sarabel Santos-Negrón",,"Valor y Cambio is a story-telling, community-building, and solidarity economy project started by artist Frances Negrón-Muntaner and collaborator visual artist Sarabel Santos Negrón.","Valor y Cambio is a story-telling, community-building, and solidarity economy project started by artist Frances Negrón-Muntaner and collaborator visual artist Sarabel Santos Negrón.","Valor y Cambio es un proyecto de arte narrativo, participación comunitaria y economía solidaria iniciado por las artistas Frances Negrón-Muntaner y Sarabel Santos Negrón. Iniciado en Puerto Rico en medio de la crisis económica y actualmente en la ciudad de Nueva York, Valor y Cambio pretende generar una amplia conversación sobre qué es una economía justa y cómo fomentar el empoderamiento colectivo frente a políticas de austeridad neoliberales a nivel local y nacional.",,,Roopika Risam,@roopikarisam,2020,
cds167,AfroMix,,Mezcla Afro,,https://www.afromix.org/,Cabinet of Wonders,Sui Generis,portal,portal,portal,,open,Active,en,,,"The Portal of African and Caribbean Cultures. News, music, arts and culture, society, travel, events.","The Portal of African and Caribbean Cultures. News, music, arts and culture, society, travel, events.","El portal de culturas africanas y caribeñas. Noticias, música, artes y cultura, sociedad, viajes, eventos.",,,,,2020,
cds169,Protestitas,Little Protests,,,https://twitter.com/protestitas,Cabinet of Wonders,Sui Generis,poetry bot,bot de poesía,bot de poesía,,open,Stable,es,Leonardo Flores,,A Twitter Bot providing social commentary and activism related to Puerto Rico,A Twitter Bot providing social commentary and activism related to Puerto Rico.,Un bot de Twitter proporcionando comentarios sociales y activismo relacionado con Puerto Rico.,,,Alex Gil,@elotroalex,2020,
cds176,Caribe Fractal,Fractal Caribbean,,,https://my.matterport.com/show/?m=8fD1TSFoph5,Cabinet of Wonders,Sui Generis,a virtual and in-person exhibit,a virtual and in-person exhibit,una exhibición virtual y en persona,,open,Defunct,en,Jose Arturo Ballester,,"Works exploring nature as a force of destruction, dispersal, and renewal in the Caribbean's ongoing dialogue with climate change and ties to diaspora.","Works exploring nature as a force of destruction, dispersal, and renewal in the Caribbean's ongoing dialogue with climate change and ties to diaspora.","Trabajos explorando la naturaleza como una fuerza de destrucción, dispersión y renovación en el diálogo continuo del Caribe con el cambio climático y las vínculos con la diáspora.",,,Alex Gil,@elotroalex,2021,
